ORGANIZATION_ID|BUSINESS_GROUP_ID|NAME|ORG_INFORMATION5|STATUS|LOCATION_ID|ORG_INFORMATION1|ORG_INFORMATION2|ORG_INFORMATION3|ORG_INFORMATION4|ORG_INFORMATION6|ORG_INFORMATION7|ORG_INFORMATION8|CLASSIFICATION_CODE|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|ORG_INFORMATION_CONTEXT|ORGANIZATION_ID1|CLASSIFICATION_CODE1|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
V1_AO "KazTransGaz" CA BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз" ЦА BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz" CA BU
V1_AO "Intergaz" CA BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "Интергаз" ЦА BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "Intergaz" CA BU
V1_AO "KazTransGaz Aimak" CA BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ЦА BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" CA BU
V1_AO "KazTransGaz Aimak" PF Aktau BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Актау BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Aktau BU
V1_AO "KazTransGaz Aimak" PF Atyrau BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Атырау BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Atyrau BU
V1_AO "KazTransGaz Aimak" PF Vostochnyj Kazahstan BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Восточный Казахстан BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Vostochnyj Kazahstan BU
V1_AO "KazTransGaz Aimak" PF Zapadnyj Kazahstan BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Западный Казахстан BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Zapadnyj Kazahstan BU
V1_AO "KazTransGaz Aimak" PF Zhetisu BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Жетису BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Zhetisu BU
V1_AO "KazTransGaz Aimak" PF Zhambul BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Жамбул BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Zhambul BU
V1_AO "KazTransGaz Aimak" PF Kostanaj BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Костанай BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Kostanaj BU
V1_AO "KazTransGaz Aimak" PF Kyzylorda BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Кызылорда BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Kyzylorda BU
V1_AO "KazTransGaz Aimak" PF Mangystau BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Мангыстау BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Mangystau BU
V1_AO "KazTransGaz Aimak" PF Juzhnyj Kazastan BU|11A3CAC8E20AB4E6E053A747660AF6EC|V1_АО "КазТрансГаз Аймак" ПФ Южный Казастан BU||A|||||119E67C19A1E375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|V1_AO "KazTransGaz Aimak" PF Juzhnyj Kazastan BU
