ORGANIZATION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|NAME|LOCATION_ID|BUSINESS_GROUP_ID|SET_ID|LEGAL_ENTITY_ID|ESTABLISHMENT_ID|COST_ALLOCATION_KEYFLEX_ID|ACTION_OCCURENCE_ID|STATUS|INTERNAL_EXTERNAL_FLAG|INTERNAL_ADDRESS_LINE|ORGANIZATION_TYPE|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|SOURCE_LANG|ACTION_OCCURRENCE_ID1|CLASSIFICATION_CODE|LEGISLATION_CODE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTG_DEP_2|2000-03-08|4712-12-31|Представительство в г. Астана|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_2
KTG_DEP_3|2000-03-09|2014-06-19|Юридический департамент|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_3
KTG_DEP_4|2000-03-09|4712-12-31|Руководство|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_4
KTG_DEP_5|2000-03-08|4712-12-31|Газовых проектов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_5
KTG_DEP_6|2000-06-06|4712-12-31|Энергетических проектов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_6
KTG_DEP_7|2000-03-08|4712-12-31|Планово - экономический|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_7
KTG_DEP_8|2000-03-08|4712-12-31|Корпоративного финансирования|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_8
KTG_DEP_9|2000-03-08|4712-12-31|Центральная бухгалтерия|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_9
KTG_DEP_10|2000-03-08|4712-12-31|Управление активами|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_10
KTG_DEP_11|2000-03-08|4712-12-31|Инвестиционных проектов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_11
KTG_DEP_12|2000-03-08|4712-12-31|Департамент маркетинга и коммерции|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_12
KTG_DEP_13|2000-03-08|4712-12-31|Административный|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_13
KTG_DEP_14|2000-03-09|2012-06-14|Канцелярия|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_14
KTG_DEP_15|2000-03-08|4712-12-31|Экономики и финансов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_15
KTG_DEP_16|2000-03-08|4712-12-31|Бухгалтерского учета и отчетности|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_16
KTG_DEP_17|2000-03-08|4712-12-31|Управления магистральными газопроводами|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_17
KTG_DEP_18|2000-03-08|4712-12-31|Структурного финансирования|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_18
KTG_DEP_19|2000-03-08|4712-12-31|Департамент по связям с общественностью|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_19
KTG_DEP_20|2000-03-08|4712-12-31|По работе с персоналом|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_20
KTG_DEP_21|2000-03-08|4712-12-31|Департамент по развитию Амангельдинского месторождения|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_21
KTG_DEP_22|2000-03-08|4712-12-31|Стратегического планирования|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_22
KTG_DEP_23|2000-03-08|4712-12-31|Филиал в г. Тараз|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_23
KTG_DEP_26|2000-03-08|4712-12-31|Представительство в г. Бишкек|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_26
KTG_DEP_27|2000-03-08|4712-12-31|Отдел кадров|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_27
KTG_DEP_28|2000-03-08|4712-12-31|Депертамент по Карачаганакскому проекту|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_28
KTG_DEP_30|2000-03-08|4712-12-31|Представительство в г. Москва|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_30
KTG_DEP_32|2000-03-08|4712-12-31|Представительство в г. Ташкент|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_32
KTG_DEP_34|2000-03-08|4712-12-31|Представительство в г. Ашгабад|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_34
KTG_DEP_35|2000-03-08|4712-12-31|Управление добычи|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_35
KTG_DEP_36|2000-03-08|4712-12-31|Управление обустройства|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_36
KTG_DEP_37|2000-03-08|4712-12-31|Управление геологоразведки|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_37
KTG_DEP_38|2000-03-08|4712-12-31|Управление бурения|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_38
KTG_DEP_39|2000-03-08|4712-12-31|Управление геологии и разработки|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_39
KTG_DEP_40|2000-03-08|4712-12-31|Дирекция строящихся предприятий|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_40
KTG_DEP_41|2000-03-08|4712-12-31|Департамент новых проектов|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_41
KTG_DEP_42|2000-03-08|4712-12-31|Департамент внутреннего контроля и аудита|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_42
KTG_DEP_43|2000-03-08|4712-12-31|Департамент информационных технологий|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_43
KTG_DEP_44|2000-03-08|4712-12-31|Жамбылский филиал ЗАО "КазТрансГаз" в г. Тараз "Дирекция строящегося предприятия"|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_44
KTG_DEP_45|2000-03-08|4712-12-31|Управление корпоративного развития|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_45
KTG_DEP_46|2000-03-08|4712-12-31|Управление по работе с регионами|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_46
KTG_DEP_47|2000-03-08|4712-12-31|Управление корпоративного финансирования|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_47
KTG_DEP_48|2000-03-08|4712-12-31|Управление технического развития|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_48
KTG_DEP_49|2000-03-08|4712-12-31|Управление внешних экономических связей|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_49
KTG_DEP_50|2000-03-08|4712-12-31|Управление экономического анализа|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_50
KTG_DEP_51|2000-03-08|4712-12-31|Управление внутреннего контроля и аудита|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_51
KTG_DEP_52|2000-03-08|4712-12-31|Управление по связям с общественностью|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_52
KTG_DEP_53|2000-03-08|4712-12-31|Юридическое управление|BC_BOLASHAK|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19A14375BE053A747660A4A5B|||||A|INT||||||||||||||||||||||||||||||||||US||DEPARTMENT||DEPT_TBL|KTG_DEP_53
