ORGANIZATION_ID|BUSINESS_GROUP_ID|NAME|ORG_INFORMATION5|STATUS|LOCATION_ID|ORG_INFORMATION1|ORG_INFORMATION2|ORG_INFORMATION3|ORG_INFORMATION4|ORG_INFORMATION6|ORG_INFORMATION7|ORG_INFORMATION8|CLASSIFICATION_CODE|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|ORG_INFORMATION_CONTEXT|ORGANIZATION_ID1|CLASSIFICATION_CODE1|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
"АО ""КазТрансГаз"" ЦА BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз"" ЦА BU"||A|||||119E67C19A19375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз"" ЦА BU"
"АО ""Интергаз"" ЦА BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""Интергаз"" ЦА BU"||A|||||119E67C19A19375BE053A747660A4A5B|Y||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""Интергаз"" ЦА BU"
"АО ""КазТрансГаз Аймак"" ЦА BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ЦА BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ЦА BU"
"АО ""КазТрансГаз Аймак"" ПФ Акт BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Акт BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Акт BU"
"АО ""КазТрансГаз Аймак"" ПФ Ат BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Ат BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Ат BU"
"АО ""КазТрансГаз Аймак"" ПФ ВК BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ ВК BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ ВК BU"
"АО ""КазТрансГаз Аймак"" ПФ ЗК BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ ЗК BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ ЗК BU"
"АО ""КазТрансГаз Аймак"" ПФ Жет BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Жет BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Жет BU"
"АО ""КазТрансГаз Аймак"" ПФ ЖПФ BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ ЖПФ BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ ЖПФ BU"
"АО ""КазТрансГаз Аймак"" ПФ Кост BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Кост BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Кост BU"
"АО ""КазТрансГаз Аймак"" ПФ Кызл BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Кызл BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Кызл BU"
"АО ""КазТрансГаз Аймак"" ПФ Манг BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ Манг BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ Манг BU"
"АО ""КазТрансГаз Аймак"" ПФ ЮКП BU"|11A3CAC8E20AB4E6E053A747660AF6EC|"АО ""КазТрансГаз Аймак"" ПФ ЮКП BU"||A||||||||||1900-01-01|4712-12-31||||BUS_UNIT_TBL_HR|"АО ""КазТрансГаз Аймак"" ПФ ЮКП BU"
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
