ORGANIZATION_ID	EFFECTIVE_START_DATE	EFFECTIVE_END_DATE	NAME	LOCATION_ID	BUSINESS_GROUP_ID	SET_ID	LEGAL_ENTITY_ID	ESTABLISHMENT_ID	COST_ALLOCATION_KEYFLEX_ID	ACTION_OCCURENCE_ID	STATUS	INTERNAL_EXTERNAL_FLAG	INTERNAL_ADDRESS_LINE	ORGANIZATION_TYPE	ATTRIBUTE_CATEGORY	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	ATTRIBUTE6	ATTRIBUTE7	ATTRIBUTE8	ATTRIBUTE9	ATTRIBUTE10	ATTRIBUTE11	ATTRIBUTE12	ATTRIBUTE13	ATTRIBUTE14	ATTRIBUTE15	ATTRIBUTE16	ATTRIBUTE17	ATTRIBUTE18	ATTRIBUTE19	ATTRIBUTE20	ATTRIBUTE21	ATTRIBUTE22	ATTRIBUTE23	ATTRIBUTE24	ATTRIBUTE25	ATTRIBUTE26	ATTRIBUTE27	ATTRIBUTE28	ATTRIBUTE29	ATTRIBUTE30	SOURCE_LANG	ACTION_OCCURRENCE_ID1	CLASSIFICATION_CODE	LEGISLATION_CODE	FT_ALTERNATE_REC	FT_ALTERNATE_KEY
KTGA_DEP_10	2002-05-02	2003-01-20	Технический отдел	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_10
KTGA_DEP_21	2002-05-02	2003-07-01	Инновационный отдел	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_21
KTGA_DEP_12	2002-05-02	2004-04-30	Отдел информационных технологий	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_12
KTGA_DEP_20	2002-05-02	2005-03-31	Отдел контрактов и клиринга	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_20
KTGA_DEP_9	2002-05-02	2005-03-31	Отдел маркетинга	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_9
KTGA_DEP_19	2002-05-02	2005-06-06	Юридическое управление	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_19
KTGA_DEP_14	2002-05-02	2005-06-06	Руководство	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_14
KTGA_DEP_13	2002-05-02	2005-06-06	Отдел кадров и делопроизводства	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_13
KTGA_DEP_8	2002-05-02	2005-06-06	Отдел контроля денежных потоков	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_8
KTGA_DEP_7	2002-05-02	2005-06-06	Бюджетно-экономический отдел	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_7
KTGA_DEP_6	2002-05-02	2005-06-06	Отдел бухгалтерского учета	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_6
KTGA_DEP_22	2002-05-02	2005-06-06	Управление внутреннего контроля	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_22
KTGA_DEP_18	2002-05-02	2005-06-06	Административно-хозяйственный отдел	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_18
KTGA_DEP_5	2002-05-02	2013-05-01	Костанайский производственный филиал	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_5
KTGA_DEP_4	2002-05-02	2013-06-03	Представительство в г. Астане	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_4
KTGA_DEP_17	2002-05-02	4712-12-31	РСС газовых участков	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_17
KTGA_DEP_16	2002-05-02	4712-12-31	Отдел сбыта	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_16
KTGA_DEP_15	2002-05-02	4712-12-31	АУП	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_15
KTGA_DEP_1	2002-05-02	4712-12-31	Центральный офис	1595C93AA609DCB2E053A747660A09BD	11A3CAC8E20AB4E6E053A747660AF6EC	119E67C19A18375BE053A747660A4A5B					A	INT																																			US	DEPARTMENT		DEPT_TBL	KTGA_DEP_1
