JOB_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|JOB_CODE|NAME|SET_ID|BUSINESS_GROUP_ID|JOB_FAMILY_ID|BENCHMARK_JOB_ID|ACTION_OCCURRENCE_ID|ACTIVE_STATUS|BENCHMARK_JOB_FLAG|MED_CHECKUP_REQ|REGULAR_TEMPORARY|FULL_PART_TIME|JOB_FUNCTION_CODE|MANAGER_LEVEL|APPROVAL_AUTHORITY|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
JOB_994767809|2000-03-09|4712-12-31|JOB_CODE_994767809|Ведущий спеуциалист|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_994767809
JOB_980043905|2000-03-09|4712-12-31|JOB_CODE_980043905|Архивариус|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_980043905
JOB_966257877|2000-03-09|4712-12-31|JOB_CODE_966257877|Инженер-метролог|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_966257877
JOB_963627847|2000-03-09|4712-12-31|JOB_CODE_963627847|Главный юрист|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_963627847
JOB_939648228|2000-03-09|4712-12-31|JOB_CODE_939648228|Главный геолог|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_939648228
JOB_939041282|2000-03-09|4712-12-31|JOB_CODE_939041282|Ведущий специалист по подготовке технических кадров|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_939041282
JOB_93872856|2000-03-09|4712-12-31|JOB_CODE_93872856|Главный специалист по геологии и бурению скважин|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_93872856
JOB_92590048|2000-03-09|4712-12-31|JOB_CODE_92590048|Электрогазосварщик|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3696883719|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_92590048
JOB_913761213|2000-03-09|4712-12-31|JOB_CODE_913761213|Менеджер по экономике и финансам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_913761213
JOB_902341732|2000-03-09|4712-12-31|JOB_CODE_902341732|Первый заместитель директора по производству|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_902341732
JOB_881999785|2000-03-09|4712-12-31|JOB_CODE_881999785|Начальник службы|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_881999785
JOB_880918228|2000-03-09|4712-12-31|JOB_CODE_880918228|Специалист - делопроизводитель|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_880918228
JOB_857473722|2000-03-09|4712-12-31|JOB_CODE_857473722|И.о. Директора Представительства|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3266313591|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_857473722
JOB_852785635|2000-03-09|4712-12-31|JOB_CODE_852785635|Ведущий менеджер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_852785635
JOB_847278012|2000-03-09|4712-12-31|JOB_CODE_847278012|Управляющий директор по маркетингу|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_2543482178|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_847278012
JOB_842865056|2000-03-09|4712-12-31|JOB_CODE_842865056|Офис менеджер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_842865056
JOB_837092151|2000-03-09|4712-12-31|JOB_CODE_837092151|Специалист по сопровождению|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_837092151
JOB_832642957|2000-03-09|4712-12-31|JOB_CODE_832642957|Программист|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3490852268|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_832642957
JOB_82965397|2000-03-09|4712-12-31|JOB_CODE_82965397|Главный менеджер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_82965397
JOB_815699185|2000-03-09|4712-12-31|JOB_CODE_815699185|Оператор|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3696883719|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_815699185
JOB_804444961|2000-03-09|4712-12-31|JOB_CODE_804444961|Менеджер проекта|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_804444961
JOB_777082660|2000-03-09|4712-12-31|JOB_CODE_777082660|Менеджер по техническим вопросам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_777082660
JOB_77450961|2000-03-09|4712-12-31|JOB_CODE_77450961|Охранник ГУ№4б|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_3696883719|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_77450961
JOB_767793798|2000-03-09|4712-12-31|JOB_CODE_767793798|Офис - менеджер|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_767793798
JOB_762676757|2000-03-09|4712-12-31|JOB_CODE_762676757|Специалист по экономике и финансам|188772AEC117AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|JOB_FAMILY_407789323|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|JOB_762676757
