PROFILE_ITEM_ID|PROFILE_ID|BUSINESS_GROUP_ID|CONTENT_TYPE_ID|CONTENT_ITEM_ID|SOURCE_TYPE|SOURCE_KEY_1|SOURCE_KEY_2|SOURCE_KEY_3|SOURCE_ID|MANDATORY|ITEM_TEXT240_3|ITEM_TEXT240_1|ITEM_TEXT240_2|RATING_MODEL_ID_2|RATING_MODEL_ID_3|QUALIFIER_ID_1|RATING_LEVEL_ID_2|RATING_MODEL_ID_1|ITEM_TEXT240_7|RATING_LEVEL_ID_1|ITEM_TEXT240_6|IMPORTANCE|RATING_LEVEL_ID_3|ITEM_TEXT240_4|QUALIFIER_ID_2|ITEM_TEXT240_5|PARENT_PROFILE_ITEM_ID|INTEREST_LEVEL|ITEM_TEXT240_8|ITEM_TEXT240_9|ITEM_TEXT240_10|ITEM_TEXT240_11|ITEM_TEXT240_12|ITEM_TEXT240_13|ITEM_TEXT240_14|ITEM_TEXT240_15|ITEM_TEXT2000_1|ITEM_TEXT2000_2|ITEM_TEXT2000_3|ITEM_TEXT2000_4|ITEM_TEXT2000_5|ITEM_TEXT30_1|ITEM_TEXT30_2|ITEM_TEXT30_3|ITEM_TEXT30_4|ITEM_TEXT30_5|ITEM_TEXT30_6|ITEM_TEXT30_7|ITEM_TEXT30_8|ITEM_TEXT30_9|ITEM_TEXT30_10|ITEM_TEXT30_11|ITEM_TEXT30_12|ITEM_TEXT30_13|ITEM_TEXT30_14|ITEM_TEXT30_15|ITEM_DATE_1|ITEM_DATE_2|ITEM_DATE_3|ITEM_DATE_4|ITEM_DATE_5|ITEM_DATE_6|ITEM_DATE_7|ITEM_DATE_8|ITEM_DATE_9|ITEM_DATE_10|ITEM_NUMBER_1|ITEM_NUMBER_2|ITEM_NUMBER_3|ITEM_NUMBER_4|ITEM_NUMBER_5|ITEM_NUMBER_6|ITEM_NUMBER_7|ITEM_NUMBER_8|ITEM_NUMBER_9|ITEM_NUMBER_10|ITEM_DECIMAL_1|ITEM_DECIMAL_2|ITEM_DECIMAL_3|ITEM_DECIMAL_4|ITEM_DECIMAL_5|DATE_FROM|DATE_TO|COUNTRY_ID|STATE_PROVINCE_ID
KTG_P_W_1|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Кооператив "Время"|Главный бухгалтер||||||||||||||||Главный бухгалтер|Главный бухгалтер||||||||||||||||||ADMIN|||||||||1990-01-19|1993-02-07||||||||||||||||||||||||2015-06-02|||
KTG_P_W_2|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Региональное объед. мал. предприятий "Жас Улан"|Главный бухгалтер||||||||||||||||Главный бухгалтер|Главный бухгалтер||||||||||||||||||ADMIN|||||||||1993-02-09|1993-04-23||||||||||||||||||||||||2015-06-02|||
KTG_P_W_3|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||МЧП "Комстрой"|Исполнительный директор||||||||||||||||Исполнительный директор|Исполнительный директор||||||||||||||||||ADMIN|||||||||1993-04-25|1994-02-01||||||||||||||||||||||||2015-06-02|||
KTG_P_W_4|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||АБ "Казкоммерцбанк"|Экономист, помощник, ведущий специалист||||||||||||||||Экономист, помощник, ведущий специалист|Экономист, помощник, ведущий специалист||||||||||||||||||ADMIN|||||||||1994-02-15|1996-04-01||||||||||||||||||||||||2015-06-02|||
KTG_P_W_5|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Пром. - фин. корпорация "Адилет"|Начальник||||||||||||||||Начальник|Начальник||||||||||||||||||ADMIN|||||||||1996-04-03|1997-03-27||||||||||||||||||||||||2015-06-02|||
KTG_P_W_6|PROFILE_314722925|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ТОО "БДТ. Аудит и консалтинг "|Главный консультант, исполнительный директор||||||||||||||||Главный консультант, исполнительный директор|Главный консультант, исполнительный директор||||||||||||||||||ADMIN|||||||||1997-04-01|2000-07-11||||||||||||||||||||||||2015-06-02|||
KTG_P_W_7|PROFILE_1806800269|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||КазГу им. Аль - Фараби|Ассистент, страший преподаватель||||||||||||||||Ассистент, страший преподаватель|Ассистент, страший преподаватель||||||||||||||||||ADMIN|||||||||1991-07-08|1998-08-25||||||||||||||||||||||||2015-06-02|||
KTG_P_W_8|PROFILE_1806800269|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО "ННК "Казахойл"|Менеджер, зав. сектора кадрового планирования и учета||||||||||||||||Менеджер, зав. сектора кадрового планирования и учета|Менеджер, зав. сектора кадрового планирования и учета||||||||||||||||||ADMIN|||||||||1998-08-28|1999-10-25||||||||||||||||||||||||2015-06-02|||
KTG_P_W_9|PROFILE_1806800269|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||РГП "Казахстан Темир жолы"|Зам. начальника - начальник отдела||||||||||||||||Зам. начальника - начальник отдела|Зам. начальника - начальник отдела||||||||||||||||||ADMIN|||||||||1999-11-01|2000-05-28||||||||||||||||||||||||2015-06-02|||
KTG_P_W_10|PROFILE_759897384|11A3CAC8E20AB4E6E053A747660AF6EC|119E67C19BC1375BE053A747660A4A5B|||||||||Семипалатинское училище связи № 27|Студент||||||||||||||||Студент|Студент||||||||||||||||||ADMIN|||||||||1961-09-01|1963-07-20||||||||||||||||||||||||2015-06-02|||
