ACTION_OCCURRENCE_ID|ASSIGNMENT_ID|ASSIGNMENT_SUPERVISOR_ID|BUSINESS_GROUP_ID|EFFECTIVE_END_DATE|EFFECTIVE_START_DATE|MANAGER_ASSIGNMENT_ID|MANAGER_ID|MANAGER_TYPE|PERSON_ID|PRIMARY_FLAG|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|ASSIGKTG8914|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2012/05/28|ASSIGKTG17213|P1673297953|LINE_MANAGER|P1280423628|Y||
|ASSIGKTG17278|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P3891052010|Y||
|ASSIGKTG17289|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P1835534855|Y||
|ASSIGKTG17232|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P3474050047|Y||
|ASSIGKTG17250|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/11/03|ASSIGKTG17213|P1673297953|LINE_MANAGER|P132362842|Y||
|ASSIGKTG17338|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P3934169017|Y||
|ASSIGKTG15721|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P3190848266|Y||
|ASSIGKTG9802|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/07/17|ASSIGKTG17213|P1673297953|LINE_MANAGER|P3500847987|Y||
|ASSIGKTG17413|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P845397699|Y||
|ASSIGKTGA16839|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/12/02|ASSIGKTG17213|P1673297953|LINE_MANAGER|P2341601976|Y||
|ASSIGKTG17245|ASSIGKTG17213|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17213|P1673297953|LINE_MANAGER|P1739713191|Y||
|ASSIGKTG12061|ASSIGKTG17470|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17470|P3199730960|LINE_MANAGER|P3442652428|Y||
|ASSIGKTG9425|ASSIGKTG17470|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17470|P3199730960|LINE_MANAGER|P383578302|Y||
|ASSIGKTG16518|ASSIGKTG17470|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG17470|P3199730960|LINE_MANAGER|P2897426076|Y||
|ASSIGKTG16439|ASSIGKTG17470|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17470|P3199730960|LINE_MANAGER|P862415149|Y||
|ASSIGKTG13821|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG9851|P9643148|LINE_MANAGER|P783736334|Y||
|ASSIGKTG10242|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG9851|P9643148|LINE_MANAGER|P1318605112|Y||
|ASSIGKTG16397|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG9851|P9643148|LINE_MANAGER|P2608090055|Y||
|ASSIGKTG17505|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/01/06|ASSIGKTG9851|P9643148|LINE_MANAGER|P2121115961|Y||
|ASSIGKTG4386|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG9851|P9643148|LINE_MANAGER|P2733168242|Y||
|ASSIGKTG11441|ASSIGKTG9851|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/24|ASSIGKTG9851|P9643148|LINE_MANAGER|P1157265695|Y||
|ASSIGKTG18042|ASSIGKTG17760|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/04/24|ASSIGKTG17760|P1166029291|LINE_MANAGER|P2285244499|Y||
|ASSIGKTG17772|ASSIGKTG17760|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/24|ASSIGKTG17760|P1166029291|LINE_MANAGER|P1986658922|Y||
|ASSIGKTG13190|ASSIGKTG17760|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17760|P1166029291|LINE_MANAGER|P585232220|Y||
|ASSIGKTG18138|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/05/12|ASSIGKTG17333|P4036031626|LINE_MANAGER|P3762445501|Y||
|ASSIGKTG7423|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG17333|P4036031626|LINE_MANAGER|P3963238032|Y||
|ASSIGKTG17515|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/01/08|ASSIGKTG17333|P4036031626|LINE_MANAGER|P2578065873|Y||
|ASSIGKTG17516|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/01/08|ASSIGKTG17333|P4036031626|LINE_MANAGER|P816322832|Y||
|ASSIGKTG16952|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/09/12|ASSIGKTG17333|P4036031626|LINE_MANAGER|P2847258593|Y||
|ASSIGKTG17518|ASSIGKTG17333|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/01/08|ASSIGKTG17333|P4036031626|LINE_MANAGER|P3398263038|Y||
|ASSIGKTG631|ASSIGKTG6107|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG6107|P4039443603|LINE_MANAGER|P1583970758|Y||
|ASSIGKTG12664|ASSIGKTG6107|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG6107|P4039443603|LINE_MANAGER|P3084903887|Y||
|ASSIGKTG16393|ASSIGKTG6107|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG6107|P4039443603|LINE_MANAGER|P3309678571|Y||
|ASSIGKTG16432|ASSIGKTG6107|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG6107|P4039443603|LINE_MANAGER|P4225237921|Y||
|ASSIGKTG5538|ASSIGKTG17534|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG17534|P1088549297|LINE_MANAGER|P1588597891|Y||
|ASSIGKTG14149|ASSIGKTG17534|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/06/08|ASSIGKTG17534|P1088549297|LINE_MANAGER|P345254721|Y||
|ASSIGKTG11888|ASSIGKTG17534|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/06/08|ASSIGKTG17534|P1088549297|LINE_MANAGER|P2365014281|Y||
|ASSIGKTG7525|ASSIGKTG17534|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG17534|P1088549297|LINE_MANAGER|P3262786021|Y||
|ASSIGKTGA17040|ASSIGKTG17534|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/12/22|ASSIGKTG17534|P1088549297|LINE_MANAGER|P3610345975|Y||
|ASSIGKTG14939|ASSIGKTG7937|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7937|P3979848278|LINE_MANAGER|P1228682045|Y||
|ASSIGKTG16419|ASSIGKTG7937|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/05/26|ASSIGKTG7937|P3979848278|LINE_MANAGER|P2844026383|Y||
|ASSIGKTG16416|ASSIGKTG7937|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7937|P3979848278|LINE_MANAGER|P268431480|Y||
|ASSIGKTG9089|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P4113503495|Y||
|ASSIGKTG13540|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P1718253742|Y||
|ASSIGKTG16435|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P1130544820|Y||
|ASSIGKTG13990|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P2153396212|Y||
|ASSIGKTG5628|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P1898497350|Y||
|ASSIGKTG13562|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P1991941941|Y||
|ASSIGKTG14372|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P2269189636|Y||
|ASSIGKTG16438|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG7953|P1787933880|LINE_MANAGER|P1871774540|Y||
|ASSIGKTG18255|ASSIGKTG7953|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/06/01|ASSIGKTG7953|P1787933880|LINE_MANAGER|P2949453101|Y||
|ASSIGKTG8858|ASSIGKTG664|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG664|P2027148033|LINE_MANAGER|P4244766070|Y||
|ASSIGKTG10251|ASSIGKTG664|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG664|P2027148033|LINE_MANAGER|P2714852987|Y||
|ASSIGKTG11896|ASSIGKTG664|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/06/23|ASSIGKTG664|P2027148033|LINE_MANAGER|P1354356688|Y||
|ASSIGKTG16775|ASSIGKTG664|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2014/08/20|ASSIGKTG664|P2027148033|LINE_MANAGER|P4022838300|Y||
|ASSIGKTG18342|ASSIGKTG17876|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/06/11|ASSIGKTG17876|P2588408514|LINE_MANAGER|P3089330651|Y||
|ASSIGKTG16361|ASSIGKTG17876|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17876|P2588408514|LINE_MANAGER|P3857886574|Y||
|ASSIGKTG8383|ASSIGKTG17876|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17876|P2588408514|LINE_MANAGER|P214848134|Y||
|ASSIGKTG16698|ASSIGKTG17358|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17358|P3073329063|LINE_MANAGER|P4278096841|Y||
|ASSIGKTG8930|ASSIGKTG17358|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17358|P3073329063|LINE_MANAGER|P1966006347|Y||
|ASSIGKTG9484|ASSIGKTG17358|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG17358|P3073329063|LINE_MANAGER|P3547386948|Y||
|ASSIGKTGA17422|ASSIGKTG18244|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/03/18|ASSIGKTG18244|P427382676|LINE_MANAGER|P1666081503|Y||
|ASSIGKTG17776|ASSIGKTG18244|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/24|ASSIGKTG18244|P427382676|LINE_MANAGER|P2378817912|Y||
|ASSIGKTG16392|ASSIGKTG18244|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG18244|P427382676|LINE_MANAGER|P3377658777|Y||
|ASSIGKTG13989|ASSIGKTG18244|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG18244|P427382676|LINE_MANAGER|P2660382667|Y||
|ASSIGKTG9188|ASSIGKTG8435|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG8435|P1345272703|LINE_MANAGER|P3848369740|Y||
|ASSIGKTG16433|ASSIGKTG8435|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG8435|P1345272703|LINE_MANAGER|P1372078527|Y||
|ASSIGKTG16458|ASSIGKTG13831|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG13831|P2973612495|LINE_MANAGER|P2605342723|Y||
|ASSIGKTG9781|ASSIGKTG13831|188772AEC11AAD11E053A647660A0CF2|4712/12/31|2015/02/23|ASSIGKTG13831|P2973612495|LINE_MANAGER|P756779720|Y||
