ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_PKTG10538|ASSIGKTG10538|188772AEC11AAD11E053A647660A0CF2|2000-03-09|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG273|ASSIGKTG273|188772AEC11AAD11E053A647660A0CF2|2000-03-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG274|ASSIGKTG274|188772AEC11AAD11E053A647660A0CF2|2000-03-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG275|ASSIGKTG275|188772AEC11AAD11E053A647660A0CF2|2000-03-15|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG276|ASSIGKTG276|188772AEC11AAD11E053A647660A0CF2|2000-03-15|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG277|ASSIGKTG277|188772AEC11AAD11E053A647660A0CF2|2000-03-15|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG279|ASSIGKTG279|188772AEC11AAD11E053A647660A0CF2|2000-03-15|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG278|ASSIGKTG278|188772AEC11AAD11E053A647660A0CF2|2000-03-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG280|ASSIGKTG280|188772AEC11AAD11E053A647660A0CF2|2000-03-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG281|ASSIGKTG281|188772AEC11AAD11E053A647660A0CF2|2000-03-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG282|ASSIGKTG282|188772AEC11AAD11E053A647660A0CF2|2000-03-31|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG283|ASSIGKTG283|188772AEC11AAD11E053A647660A0CF2|2000-04-10|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG284|ASSIGKTG284|188772AEC11AAD11E053A647660A0CF2|2000-04-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG286|ASSIGKTG286|188772AEC11AAD11E053A647660A0CF2|2000-05-10|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG287|ASSIGKTG287|188772AEC11AAD11E053A647660A0CF2|2000-05-22|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG288|ASSIGKTG288|188772AEC11AAD11E053A647660A0CF2|2000-05-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG271|ASSIGKTG271|188772AEC11AAD11E053A647660A0CF2|2000-05-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG289|ASSIGKTG289|188772AEC11AAD11E053A647660A0CF2|2000-05-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG290|ASSIGKTG290|188772AEC11AAD11E053A647660A0CF2|2000-05-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG291|ASSIGKTG291|188772AEC11AAD11E053A647660A0CF2|2000-06-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG292|ASSIGKTG292|188772AEC11AAD11E053A647660A0CF2|2000-06-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG293|ASSIGKTG293|188772AEC11AAD11E053A647660A0CF2|2000-06-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG294|ASSIGKTG294|188772AEC11AAD11E053A647660A0CF2|2000-06-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG295|ASSIGKTG295|188772AEC11AAD11E053A647660A0CF2|2000-06-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG296|ASSIGKTG296|188772AEC11AAD11E053A647660A0CF2|2000-06-09|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG297|ASSIGKTG297|188772AEC11AAD11E053A647660A0CF2|2000-06-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG298|ASSIGKTG298|188772AEC11AAD11E053A647660A0CF2|2000-06-19|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG299|ASSIGKTG299|188772AEC11AAD11E053A647660A0CF2|2000-06-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG300|ASSIGKTG300|188772AEC11AAD11E053A647660A0CF2|2000-06-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG301|ASSIGKTG301|188772AEC11AAD11E053A647660A0CF2|2000-06-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG302|ASSIGKTG302|188772AEC11AAD11E053A647660A0CF2|2000-06-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG303|ASSIGKTG303|188772AEC11AAD11E053A647660A0CF2|2000-06-27|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG304|ASSIGKTG304|188772AEC11AAD11E053A647660A0CF2|2000-06-28|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG305|ASSIGKTG305|188772AEC11AAD11E053A647660A0CF2|2000-06-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG306|ASSIGKTG306|188772AEC11AAD11E053A647660A0CF2|2000-06-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG307|ASSIGKTG307|188772AEC11AAD11E053A647660A0CF2|2000-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG308|ASSIGKTG308|188772AEC11AAD11E053A647660A0CF2|2000-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG326|ASSIGKTG326|188772AEC11AAD11E053A647660A0CF2|2000-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG309|ASSIGKTG309|188772AEC11AAD11E053A647660A0CF2|2000-07-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG310|ASSIGKTG310|188772AEC11AAD11E053A647660A0CF2|2000-07-11|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG311|ASSIGKTG311|188772AEC11AAD11E053A647660A0CF2|2000-07-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG312|ASSIGKTG312|188772AEC11AAD11E053A647660A0CF2|2000-07-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG313|ASSIGKTG313|188772AEC11AAD11E053A647660A0CF2|2000-07-24|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG314|ASSIGKTG314|188772AEC11AAD11E053A647660A0CF2|2000-07-31|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG315|ASSIGKTG315|188772AEC11AAD11E053A647660A0CF2|2000-07-31|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG316|ASSIGKTG316|188772AEC11AAD11E053A647660A0CF2|2000-08-07|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG317|ASSIGKTG317|188772AEC11AAD11E053A647660A0CF2|2000-08-08|4712-12-31|FTE|1||
