ACCEPTED_TERMINATION_DATE|ACTION_OCCURRENCE_ID|ACTUAL_TERMINATION_DATE|ADJUSTED_SVC_DATE|BUSINESS_GROUP_ID|DATE_EMPLOYEE_DATA_VERIFIED|DATE_START|FAST_PATH_EMPLOYEE|LAST_WORKING_DATE|LEGAL_ENTITY_ID|LEGISLATION_CODE|NOTIFIED_TERMINATION_DATE|ON_MILITARY_SERVICE|ORIGINAL_DATE_OF_HIRE|PERIOD_OF_SERVICE_ID|PERIOD_TYPE|PERSON_ID|PRIMARY_FLAG|PROJECTED_TERMINATION_DATE|REHIRE_AUTHORIZOR|REHIRE_REASON|REHIRE_RECOMMENDATION|TERMINATION_ACCEPTED_PERSON_ID|WORKER_NUMBER|COMMENTS|REHIRE_AUTHORIZER_PERSON_ID|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|0|2001-01-11|2000-03-09|188772AEC11AAD11E053A647660A0CF2||2000-03-09|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-01-11|N|2000-03-09|PERIODKTG10538|E|P808758583|Y||||Y|||||WR|PKTG10538::WR
|0|2000-05-10|2000-03-13|188772AEC11AAD11E053A647660A0CF2||2000-03-13|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2000-05-10|N|2000-03-13|PERIODKTG273|E|P2516486983|Y||||Y|||||WR|PKTG273::WR
|0|2001-03-06|2000-03-13|188772AEC11AAD11E053A647660A0CF2||2000-03-13|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-03-06|N|2000-03-13|PERIODKTG274|E|P1184335205|Y||||Y|||||WR|PKTG274::WR
|0|2001-08-01|2000-03-15|188772AEC11AAD11E053A647660A0CF2||2000-03-15|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-08-01|N|2000-03-15|PERIODKTG275|E|P3081957672|Y||||Y|||||WR|PKTG275::WR
|0|2000-03-31|2000-03-15|188772AEC11AAD11E053A647660A0CF2||2000-03-15|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2000-03-31|N|2000-03-15|PERIODKTG276|E|P1219023695|Y||||Y|||||WR|PKTG276::WR
|0|2001-06-05|2000-03-15|188772AEC11AAD11E053A647660A0CF2||2000-03-15|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-06-05|N|2000-03-15|PERIODKTG277|E|P907793803|Y||||Y|||||WR|PKTG277::WR
|0|2001-07-02|2000-03-15|188772AEC11AAD11E053A647660A0CF2||2000-03-15|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-07-02|N|2000-03-15|PERIODKTG279|E|P3470487352|Y||||Y|||||WR|PKTG279::WR
|0|2000-10-17|2000-03-16|188772AEC11AAD11E053A647660A0CF2||2000-03-16|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2000-10-17|N|2000-03-16|PERIODKTG278|E|P3510198544|Y||||Y|||||WR|PKTG278::WR
|0|2005-04-19|2000-03-21|188772AEC11AAD11E053A647660A0CF2||2000-03-21|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2005-04-19|N|2000-03-21|PERIODKTG280|E|P1380514255|Y||||Y|||||WR|PKTG280::WR
|0|2001-01-11|2000-03-21|188772AEC11AAD11E053A647660A0CF2||2000-03-21|Y||188772AEC11BAD11E053A647660A0CF2|KZ|2001-01-11|N|2000-03-21|PERIODKTG281|E|P2176613393|Y||||Y|||||WR|PKTG281::WR
