JOB_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|JOB_CODE|NAME|SET_ID|BUSINESS_GROUP_ID|JOB_FAMILY_ID|BENCHMARK_JOB_ID|ACTION_OCCURRENCE_ID|ACTIVE_STATUS|BENCHMARK_JOB_FLAG|MED_CHECKUP_REQ|REGULAR_TEMPORARY|FULL_PART_TIME|JOB_FUNCTION_CODE|MANAGER_LEVEL|APPROVAL_AUTHORITY|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTG_JOB_388|2000-03-09|4712-12-31|KTG_JOB_CODE_388|000_Должность для замены|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY3|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_388
KTG_JOB_562|2000-03-09|4712-12-31|KTG_JOB_CODE_562|Аналитик|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY6|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_562
KTG_JOB_481|2000-03-09|4712-12-31|KTG_JOB_CODE_481|Аудитор|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_481
KTG_JOB_39|2000-03-09|4712-12-31|KTG_JOB_CODE_39|Бухгалтер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_39
KTG_JOB_795|2000-03-09|4712-12-31|KTG_JOB_CODE_795|Ведущий  специалист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_795
KTG_JOB_737|2000-03-09|4712-12-31|KTG_JOB_CODE_737|Ведущий бухгалтер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_737
KTG_JOB_233|2000-03-09|4712-12-31|KTG_JOB_CODE_233|Ведущий геолог|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_233
KTG_JOB_665|2000-03-09|4712-12-31|KTG_JOB_CODE_665|Ведущий диспетчер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_665
KTG_JOB_238|2000-03-09|4712-12-31|KTG_JOB_CODE_238|Ведущий инженер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_238
KTG_JOB_270|2000-03-09|4712-12-31|KTG_JOB_CODE_270|Ведущий инженер КИПиА|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_270
KTG_JOB_251|2000-03-09|4712-12-31|KTG_JOB_CODE_251|Ведущий инженер по проектным работам|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_251
KTG_JOB_252|2000-03-09|4712-12-31|KTG_JOB_CODE_252|Ведущий инженер по техническому надзору|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_252
KTG_JOB_5|2000-03-09|4712-12-31|KTG_JOB_CODE_5|Ведущий специалист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_5
KTG_JOB_574|2000-03-09|4712-12-31|KTG_JOB_CODE_574|Ведущий экономист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_574
KTG_JOB_70|2000-03-09|4712-12-31|KTG_JOB_CODE_70|Ведущий юрист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_70
KTG_JOB_77|2000-03-09|4712-12-31|KTG_JOB_CODE_77|Вице - президент|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_77
KTG_JOB_19|2000-03-09|4712-12-31|KTG_JOB_CODE_19|Вице - президент по коммерции|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_19
KTG_JOB_18|2000-03-09|4712-12-31|KTG_JOB_CODE_18|Вице - президент по корпоративному развитию|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_18
KTG_JOB_147|2000-03-09|4712-12-31|KTG_JOB_CODE_147|Вице - президент по новым проектам|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_147
KTG_JOB_16|2000-03-09|4712-12-31|KTG_JOB_CODE_16|Вице - президент по производству|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_16
KTG_JOB_60|2000-03-09|4712-12-31|KTG_JOB_CODE_60|Вице - президент по финансам и развитию|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_60
KTG_JOB_17|2000-03-09|4712-12-31|KTG_JOB_CODE_17|Вице - президент по экономике и финансам|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_17
KTG_JOB_44|2000-03-09|4712-12-31|KTG_JOB_CODE_44|Водитель|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY4|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_44
KTG_JOB_13|2000-03-09|4712-12-31|KTG_JOB_CODE_13|Генеральный директор (председатель Правления)|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY5|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_13
KTG_JOB_234|2000-03-09|4712-12-31|KTG_JOB_CODE_234|Геолог|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_234
KTG_JOB_235|2000-03-09|4712-12-31|KTG_JOB_CODE_235|Геофизик|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_235
KTG_JOB_261|2000-03-09|4712-12-31|KTG_JOB_CODE_261|Главный аналитик|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_261
KTG_JOB_443|2000-03-09|4712-12-31|KTG_JOB_CODE_443|Главный аудитор|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_443
KTG_JOB_37|2000-03-09|4712-12-31|KTG_JOB_CODE_37|Главный бухгалтер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY5|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_37
KTG_JOB_232|2000-03-09|4712-12-31|KTG_JOB_CODE_232|Главный геолог|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_232
KTG_JOB_146|2000-03-09|4712-12-31|KTG_JOB_CODE_146|Главный инженер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_146
KTG_JOB_3|2000-03-09|4712-12-31|KTG_JOB_CODE_3|Главный менеджер|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_3
KTG_JOB_83|2000-03-09|4712-12-31|KTG_JOB_CODE_83|Главный менеджер по бурению|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_83
KTG_JOB_401|2000-03-09|4712-12-31|KTG_JOB_CODE_401|Главный менеджер по внедрению менеджмента качества|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_401
KTG_JOB_326|2000-03-09|4712-12-31|KTG_JOB_CODE_326|Главный менеджер по капитальному строительству|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_326
KTG_JOB_412|2000-03-09|4712-12-31|KTG_JOB_CODE_412|Главный менеджер по контрактам|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_412
KTG_JOB_86|2000-03-09|4712-12-31|KTG_JOB_CODE_86|Главный менеджер по разработке|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_86
KTG_JOB_124|2000-03-09|4712-12-31|KTG_JOB_CODE_124|Главный менеджер по разработке месторождения|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_124
KTG_JOB_410|2000-03-09|4712-12-31|KTG_JOB_CODE_410|Главный менеджер по строительству|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY1|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_410
KTG_JOB_327|2000-03-09|4712-12-31|KTG_JOB_CODE_327|Главный менеджер технологии газового производства|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_327
KTG_JOB_228|2000-03-09|4712-12-31|KTG_JOB_CODE_228|Главный механик|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_228
KTG_JOB_156|2000-03-09|4712-12-31|KTG_JOB_CODE_156|Главный специалист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_156
KTG_JOB_125|2000-03-09|4712-12-31|KTG_JOB_CODE_125|Главный специалист по геологии и бурению скважин|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_125
KTG_JOB_165|2000-03-09|4712-12-31|KTG_JOB_CODE_165|Главный специалист по импортозамещению|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_165
KTG_JOB_120|2000-03-09|4712-12-31|KTG_JOB_CODE_120|Главный специалист по контролю бюджета|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_120
KTG_JOB_126|2000-03-09|4712-12-31|KTG_JOB_CODE_126|Главный специалист по обустройству месторождения|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_126
KTG_JOB_166|2000-03-09|4712-12-31|KTG_JOB_CODE_166|Главный специалист по сбыту газа и конденсата|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_166
KTG_JOB_169|2000-03-09|4712-12-31|KTG_JOB_CODE_169|Главный специалист по социальным проектам|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_169
KTG_JOB_229|2000-03-09|4712-12-31|KTG_JOB_CODE_229|Главный экономист|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_229
KTG_JOB_242|2000-03-09|4712-12-31|KTG_JOB_CODE_242|Главный энергетик|188772AEC118AD11E053A647660A0CF2|188772AEC11AAD11E053A647660A0CF2|KTG_JOB_FAMILY2|||A|N|N|R||||0||||||||||||||||||||||||||||||||JOBCODE_TBL|KTG_JOB_242
