POSITION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|BUSINESS_UNIT_ID|POSITION_CODE|BUSINESS_GROUP_ID|ORGANIZATION_ID|JOB_ID|LOCATION_ID|ENTRY_GRADE_ID|ENTRY_STEP_ID|ACTIVE_STATUS|SUPERVISOR_ID|SUPERVISOR_ASSIGNMENT_ID|ACTION_OCCURRENCE_ID|PERMANENT_TEMPORARY_FLAG|FTE|HIRING_STATUS|FULL_PART_TIME|FREQUENCY|TIME_NORMAL_START|TIME_NORMAL_FINISH|POSITION_TYPE|PROBATION_PERIOD_UNIT_CD|BARGAINING_UNIT_CD|MAX_PERSONS|WORKING_HOURS|OVERLAP_ALLOWED|SEASONAL_FLAG|PROBATION_PERIOD|SEASONAL_END_DATE|SECURITY_CLEARANCE|SEASONAL_START_DATE|ATTRIBUTE_CATEGORY|NAME|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTGA_POS_674|2002-05-02|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_674|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_171|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент интегрированной системы менеджмента|POSITION_DATA|KTGA_POS_674
KTGA_POS_676|2002-05-02|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_676|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_171|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Менеджер Департамент интегрированной системы менеджмента|POSITION_DATA|KTGA_POS_676
KTGA_POS_675|2002-05-02|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_675|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_171|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Главный менеджер Департамент интегрированной системы менеджмента|POSITION_DATA|KTGA_POS_675
KTGA_POS_242|2004-10-01|2005-06-06|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_242|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_50|KTGA_JOB_242|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Начальник Канцелярия|POSITION_DATA|KTGA_POS_242
KTGA_POS_316|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_316|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_67|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Производственно-технический департамент|POSITION_DATA|KTGA_POS_316
KTGA_POS_345|2005-06-07|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_345|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_74|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Административно-хозяйственный департамент|POSITION_DATA|KTGA_POS_345
KTGA_POS_293|2005-06-07|2013-08-26|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_293|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_215|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Первый заместитель Генерального директора Администрация|POSITION_DATA|KTGA_POS_293
KTGA_POS_292|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_292|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_1|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Генеральный директор Администрация|POSITION_DATA|KTGA_POS_292
KTGA_POS_300|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_300|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_60|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Юридический департамент|POSITION_DATA|KTGA_POS_300
KTGA_POS_298|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_298|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_298|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Технический директор Администрация|POSITION_DATA|KTGA_POS_298
KTGA_POS_341|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_341|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_73|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент управления активами|POSITION_DATA|KTGA_POS_341
KTGA_POS_338|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_338|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_72|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент планирования денежных потоков|POSITION_DATA|KTGA_POS_338
KTGA_POS_349|2005-06-07|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_349|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_74|KTGA_JOB_69|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Водитель Административно-хозяйственный департамент|POSITION_DATA|KTGA_POS_349
KTGA_POS_324|2005-06-07|2009-08-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_324|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_68|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент капитального строительства|POSITION_DATA|KTGA_POS_324
KTGA_POS_355|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_355|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_75|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент управления персоналом|POSITION_DATA|KTGA_POS_355
KTGA_POS_331|2005-06-07|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_331|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_70|KTGA_JOB_11|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Главный бухгалтер Центральная бухгалтерия|POSITION_DATA|KTGA_POS_331
KTGA_POS_388|2006-02-24|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_388|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_80|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент инвестиционной политики|POSITION_DATA|KTGA_POS_388
KTGA_POS_412|2007-04-02|2012-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_412|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_3|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Заместитель Генерального директора Администрация|POSITION_DATA|KTGA_POS_412
KTGA_POS_436|2008-01-01|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_436|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_90|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент маркетинга и контрактов|POSITION_DATA|KTGA_POS_436
KTGA_POS_445|2008-02-01|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_445|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_94|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Главный менеджер Группа налогового учета и планирования|POSITION_DATA|KTGA_POS_445
KTGA_POS_457|2008-07-01|2014-12-21|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_457|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_74|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Менеджер Административно-хозяйственный департамент|POSITION_DATA|KTGA_POS_457
KTGA_POS_567|2009-01-01|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_567|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_68|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Менеджер Департамент капитального строительства|POSITION_DATA|KTGA_POS_567
KTGA_POS_566|2009-01-01|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_566|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_68|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||5|40||N||||||Главный менеджер Департамент капитального строительства|POSITION_DATA|KTGA_POS_566
KTGA_POS_476|2009-02-03|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_476|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_102|KTGA_JOB_472|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Корпоративный секретарь Служба корпоративного секретаря|POSITION_DATA|KTGA_POS_476
