PROFILE_ITEM_ID|PROFILE_ID|BUSINESS_GROUP_ID|CONTENT_TYPE_ID|CONTENT_ITEM_ID|SOURCE_TYPE|SOURCE_KEY_1|SOURCE_KEY_2|SOURCE_KEY_3|SOURCE_ID|MANDATORY|ITEM_TEXT_240_3|ITEM_TEXT_240_1|ITEM_TEXT_240_2|RATING_MODEL_ID_2|RATING_MODEL_ID_3|QUALIFIER_ID_1|RATING_LEVEL_ID_2|RATING_MODEL_ID_1|ITEM_TEXT_240_7|RATING_LEVEL_ID_1|ITEM_TEXT_240_6|IMPORTANCE|RATING_LEVEL_ID_3|ITEM_TEXT_240_4|QUALIFIER_ID_2|ITEM_TEXT_240_5|PARENT_PROFILE_ITEM_ID|INTEREST_LEVEL|ITEM_TEXT_240_8|ITEM_TEXT_240_9|ITEM_TEXT_240_10|ITEM_TEXT_240_11|ITEM_TEXT_240_12|ITEM_TEXT_240_13|ITEM_TEXT_240_14|ITEM_TEXT_240_15|ITEM_TEXT_2000_1|ITEM_TEXT_2000_2|ITEM_TEXT_2000_3|ITEM_TEXT_2000_4|ITEM_TEXT_2000_5|ITEM_TEXT_30_1|ITEM_TEXT_30_2|ITEM_TEXT_30_3|ITEM_TEXT_30_4|ITEM_TEXT_30_5|ITEM_TEXT_30_6|ITEM_TEXT_30_7|ITEM_TEXT_30_8|ITEM_TEXT_30_9|ITEM_TEXT_30_10|ITEM_TEXT_30_11|ITEM_TEXT_30_12|ITEM_TEXT_30_13|ITEM_TEXT_30_14|ITEM_TEXT_30_15|ITEM_DATE_1|ITEM_DATE_2|ITEM_DATE_3|ITEM_DATE_4|ITEM_DATE_5|ITEM_DATE_6|ITEM_DATE_7|ITEM_DATE_8|ITEM_DATE_9|ITEM_DATE_10|ITEM_NUMBER_1|ITEM_NUMBER_2|ITEM_NUMBER_3|ITEM_NUMBER_4|ITEM_NUMBER_5|ITEM_NUMBER_6|ITEM_NUMBER_7|ITEM_NUMBER_8|ITEM_NUMBER_9|ITEM_NUMBER_10|ITEM_DECIMAL_1|ITEM_DECIMAL_2|ITEM_DECIMAL_3|ITEM_DECIMAL_4|ITEM_DECIMAL_5|DATE_FROM|DATE_TO|COUNTRY_ID|STATE_PROVINCE_ID
PROF_ITEM_65|PREV_WORK_52||119E67C19BC1375BE053A747660A4A5B||||||||||Менеджер по продаже||||||||||||||||Менеджер по продаже|Менеджер по продаже||||||||||||Y||||||ADMIN|||||||||2001-05-07|2001-07-27||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_66|PREV_WORK_52||119E67C19BC1375BE053A747660A4A5B|||||||||ТОО " Фармацевтическая компания Ромат"|Начальник отдела контролинга и аудита||||||||||||||||Начальник отдела контролинга и аудита|Начальник отдела контролинга и аудита||||||||||||Y||||||ADMIN|||||||||2001-10-03|2002-06-05||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_67|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B|||||||||АО "РИВЦ"|Инженер- программист||||||||||||||||Инженер- программист|Инженер- программист||||||||||||Y||||||ADMIN|||||||||1994-11-09|1994-12-20||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_68|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B|||||||||ТОО "БУТЯ"|Экономист||||||||||||||||Экономист|Экономист||||||||||||Y||||||ADMIN|||||||||1994-12-20|1995-06-01||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_69|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B||||||||||Менеджер по расчетным и валютным операциям||||||||||||||||Менеджер по расчетным и валютным операциям|Менеджер по расчетным и валютным операциям||||||||||||Y||||||ADMIN|||||||||1995-06-01|1996-05-01||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_70|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B|||||||||Страховое общество "АстыкИнСтрах"|Финансовый директор- заместитель генерального директора||||||||||||||||Финансовый директор- заместитель генерального директора|Финансовый директор- заместитель генерального директора||||||||||||Y||||||ADMIN|||||||||1996-05-01|1997-01-01||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_71|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО "Эйр Казахстан"|Начальник отдела||||||||||||||||Начальник отдела|Начальник отдела||||||||||||Y||||||ADMIN|||||||||1997-01-05|1997-06-04||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_72|PREV_WORK_83||119E67C19BC1375BE053A747660A4A5B|||||||||ЗАО " Казахстанские телекоммуникации"|Менеджер проекта " Кателко-Плюс"||||||||||||||||Менеджер проекта " Кателко-Плюс"|Менеджер проекта " Кателко-Плюс"||||||||||||Y||||||ADMIN|||||||||2001-09-19|2002-02-01||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_73|PREV_WORK_92||119E67C19BC1375BE053A747660A4A5B|||||||||Чимкентский завод теплоизоляционных конструкций и заготовок|Инженер-конструктор||||||||||||||||Инженер-конструктор|Инженер-конструктор||||||||||||Y||||||ADMIN|||||||||1975-09-01|1975-11-03||||||||||||||||||||||||2015-06-02|||
PROF_ITEM_74|PREV_WORK_92||119E67C19BC1375BE053A747660A4A5B||||||||||Мастер техоснастки||||||||||||||||Мастер техоснастки|Мастер техоснастки||||||||||||Y||||||ADMIN|||||||||1975-11-03|1976-08-18||||||||||||||||||||||||2015-06-02|||
