ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|FFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_P42|ASSIG42||2002-06-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P43|ASSIG43||2002-06-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P44|ASSIG44||2002-06-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P45|ASSIG45||2002-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P46|ASSIG46||2002-08-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P47|ASSIG47||2002-08-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P48|ASSIG48||2002-09-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P49|ASSIG49||2002-09-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P50|ASSIG50||2002-09-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P51|ASSIG51||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P52|ASSIG52||2002-10-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P53|ASSIG53||2002-11-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P54|ASSIG54||2002-11-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P55|ASSIG55||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P56|ASSIG56||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P57|ASSIG57||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P58|ASSIG58||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P59|ASSIG59||2003-01-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P60|ASSIG60||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P61|ASSIG61||2002-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P62|ASSIG62||2003-01-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P63|ASSIG63||2003-01-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P64|ASSIG64||2003-01-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P65|ASSIG65||2003-02-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P66|ASSIG66||2003-02-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P67|ASSIG67||2003-02-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P68|ASSIG68||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P69|ASSIG69||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P70|ASSIG70||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P71|ASSIG71||2003-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P72|ASSIG72||2003-04-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P73|ASSIG73||2003-05-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P74|ASSIG74||2003-05-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P75|ASSIG75||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P76|ASSIG76||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P77|ASSIG77||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P78|ASSIG78||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P79|ASSIG79||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P80|ASSIG80||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P81|ASSIG81||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P82|ASSIG82||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P83|ASSIG83||2003-07-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P84|ASSIG84||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P85|ASSIG85||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P86|ASSIG86||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P87|ASSIG87||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P88|ASSIG88||2003-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P89|ASSIG89||2003-08-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P90|ASSIG90||2003-09-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P91|ASSIG91||2003-09-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P92|ASSIG92||2003-08-27|4712-12-31|FTE|1||
|Y|ASG_FTE_P93|ASSIG93||2003-08-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P94|ASSIG94||2003-09-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P95|ASSIG95||2003-09-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P96|ASSIG96||2003-11-18|4712-12-31|FTE|1||
|Y|ASG_FTE_P97|ASSIG97||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P98|ASSIG98||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P99|ASSIG99||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P100|ASSIG100||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P101|ASSIG101||2004-03-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P200|ASSIG200||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P204|ASSIG204||2002-06-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P205|ASSIG205||2002-05-27|4712-12-31|FTE|1||
|Y|ASG_FTE_P206|ASSIG206||2002-06-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P207|ASSIG207||2002-06-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P208|ASSIG208||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P209|ASSIG209||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P210|ASSIG210||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P211|ASSIG211||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P212|ASSIG212||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P213|ASSIG213||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P214|ASSIG214||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P215|ASSIG215||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P216|ASSIG216||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P217|ASSIG217||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P218|ASSIG218||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P219|ASSIG219||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P220|ASSIG220||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P222|ASSIG222||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P223|ASSIG223||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P224|ASSIG224||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P225|ASSIG225||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P226|ASSIG226||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P227|ASSIG227||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P228|ASSIG228||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P229|ASSIG229||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P230|ASSIG230||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P231|ASSIG231||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P232|ASSIG232||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P233|ASSIG233||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P234|ASSIG234||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P235|ASSIG235||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P236|ASSIG236||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P237|ASSIG237||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P239|ASSIG239||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P240|ASSIG240||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P241|ASSIG241||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P242|ASSIG242||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P243|ASSIG243||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P244|ASSIG244||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P245|ASSIG245||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P246|ASSIG246||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P247|ASSIG247||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P248|ASSIG248||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P249|ASSIG249||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P250|ASSIG250||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P251|ASSIG251||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P252|ASSIG252||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P253|ASSIG253||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P254|ASSIG254||2002-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P255|ASSIG255||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P256|ASSIG256||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P257|ASSIG257||2002-05-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P258|ASSIG258||2002-05-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P259|ASSIG259||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P260|ASSIG260||2002-05-07|4712-12-31|FTE|1||
|Y|ASG_FTE_P261|ASSIG261||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P262|ASSIG262||2002-05-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P263|ASSIG263||2002-05-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P264|ASSIG264||2002-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_P265|ASSIG265||2002-05-20|4712-12-31|FTE|1||
|Y|ASG_FTE_P266|ASSIG266||2002-05-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P267|ASSIG267||2002-06-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P269|ASSIG269||2002-07-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P271|ASSIG271||2002-07-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P272|ASSIG272||2002-07-01|4712-12-31|FTE|1||
|Y|ASG_FTE_P273|ASSIG273||2002-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P274|ASSIG274||2002-07-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P275|ASSIG275||2002-07-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P276|ASSIG276||2002-08-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P277|ASSIG277||2002-08-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P278|ASSIG278||2002-08-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P280|ASSIG280||2002-08-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P281|ASSIG281||2002-09-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P282|ASSIG282||2002-09-16|4712-12-31|FTE|1||
|Y|ASG_FTE_P283|ASSIG283||2002-09-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P284|ASSIG284||2002-09-19|4712-12-31|FTE|1||
|Y|ASG_FTE_P285|ASSIG285||2002-09-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P286|ASSIG286||2002-10-21|4712-12-31|FTE|1||
